Commodity,State,Year,production,domestic_consumption
Electricity,IL,2016,187289131,141050409
Electricity,IN,2016,101759059,103704821
Electricity,KS,2016,47599991,40810174
Electricity,KY,2016,80273501,74553575
Electricity,LA,2016,107268804,91452659
Electricity,MA,2016,31955022,53475888
Electricity,MD,2016,37166687,61353911
Electricity,ME,2016,11514427,11448951
Electricity,MI,2016,112121790,104467813
Electricity,MN,2016,59478753,66546492
Electricity,MO,2016,78611513,78618056
Electricity,MS,2016,62881295,49050164
Electricity,MT,2016,27783529,14100601
Electricity,NC,2016,130779157,134404319
Electricity,ND,2016,37856452,18520188
Electricity,NE,2016,36524869,30199354
Electricity,NH,2016,19282493,10904956
Electricity,NJ,2016,77611403,75359371
Electricity,NM,2016,32912045,23039547
Electricity,NV,2016,39787005,36144630
Electricity,NY,2016,134417107,147803038
Electricity,OH,2016,118922078,150597796
Electricity,OK,2016,78655007,61516554
Electricity,OR,2016,60182013,47349350
Electricity,PA,2016,215066509,145327683
Electricity,RI,2016,6564885,7524270
Electricity,SC,2016,96985764,79577550
Electricity,SD,2016,11524184,12129530
Electricity,TN,2016,79340633,100758439
Electricity,TX,2016,454047591,398661809
Electricity,UT,2016,38133928,30179534
Electricity,VA,2016,92554876,112280665
Electricity,VT,2016,1911207,5516450
Electricity,WA,2016,114086582,88885316
Electricity,WI,2016,64966611,69736338
Electricity,WV,2016,75942968,32076146
Electricity,WY,2016,46656630,16554870
Electricity,AK,2015,6284937,6159204
Electricity,AL,2015,152477427,88845543
Electricity,AR,2015,55559428,46465154
Electricity,AZ,2015,113142048,77349416
Electricity,CA,2015,196703858,261170437
Electricity,CO,2015,52393077,54116046
Electricity,CT,2015,37470622,29476155
Electricity,DC,2015,53750,11291233
Electricity,DE,2015,7810006,11498205
Electricity,FL,2015,237412633,235599398
Electricity,GA,2015,128817898,135878215
Electricity,HI,2015,10119500,9511352
Electricity,IA,2015,56658918,47147293
Electricity,ID,2015,15667095,23058814
Electricity,IL,2015,193952040,138619970
Electricity,IN,2015,104019275,104514518
Electricity,KS,2015,45527124,39849127
Electricity,KY,2015,83543671,76038630
Electricity,LA,2015,107812354,91676489
Electricity,MA,2015,32085969,54621088
Electricity,MD,2015,36365544,61781719
Electricity,ME,2015,11741265,11888168
Electricity,MI,2015,113008050,102479921
Electricity,MN,2015,56979768,66579234
Electricity,MO,2015,83640067,81504081
Electricity,MS,2015,64757864,48691529
Electricity,MT,2015,29302401,14206911
Electricity,NC,2015,128388445,133847523
Electricity,ND,2015,37156612,18128948
Electricity,NE,2015,39883391,29495073
Electricity,NH,2015,20015893,10999149
Electricity,NJ,2015,74608860,75489623
Electricity,NM,2015,32701398,23093553
Electricity,NV,2015,39046784,36019690
Electricity,NY,2015,138627721,148913655
Electricity,OH,2015,121893401,149213224
Electricity,OK,2015,76135596,61336385
Electricity,OR,2015,57866535,47263974
Electricity,PA,2015,214572291,146344028
Electricity,RI,2015,6939019,7664718
Electricity,SC,2015,96532213,81328246
Electricity,SD,2015,9633033,12101979
Electricity,TN,2015,75214636,99632108
Electricity,TX,2015,449826336,392337354
Electricity,UT,2015,41949120,30192350
Electricity,VA,2015,84411592,112009045
Electricity,VT,2015,1982047,5521109
Electricity,WA,2015,109287458,90116086
Electricity,WI,2015,66360183,68698932
Electricity,WV,2015,72295269,32303026
Electricity,WY,2015,48966519,16924762
Electricity,AK,2014,6042829.63,6164812
Electricity,AL,2014,149340447.1,90493727
Electricity,AR,2014,61592136.66,47080301
Electricity,AZ,2014,112257187.5,76297685
Electricity,CA,2014,198807621.8,262584786
Electricity,CO,2014,53847385.91,53396521
Electricity,CT,2014,33676980.41,29354460
Electricity,DC,2014,67612.16,11193589
Electricity,DE,2014,7703583.52,11338477
Electricity,FL,2014,230015937.3,226078111
Electricity,GA,2014,125837223.5,135789932
Electricity,HI,2014,10204158.25,9475452
Electricity,IA,2014,56853282.47,47201853
Electricity,ID,2014,15184416.5,23233284
Electricity,IL,2014,202143878,141540287
Electricity,IN,2014,115395391.8,106942504
Electricity,KS,2014,49728363.11,40561606
Electricity,KY,2014,90896435.07,78838924
Electricity,LA,2014,104229401.6,90628316
Electricity,MA,2014,31118591.32,54469292
Electricity,MD,2014,37833652.42,61683869
Electricity,ME,2014,13248709.89,12002661
Electricity,MI,2014,106816991,103314098
Electricity,MN,2014,56998329.96,68719367
Electricity,MO,2014,87834468.21,83878397
Electricity,MS,2014,55127091.66,49408631
Electricity,MT,2014,30257616.08,14102392
Electricity,NC,2014,128143588.1,133132776
Electricity,ND,2014,36462507.67,18239732
Electricity,NE,2014,39431290.74,30222168
Electricity,NH,2014,19538394.98,10944081
Electricity,NJ,2014,68051085.85,73866078
Electricity,NM,2014,32306209.87,23115222
Electricity,NV,2014,36000537,35075606
Electricity,NY,2014,137122202.1,147371913
Electricity,OH,2014,134476405,150679713
Electricity,OK,2014,70155504.3,61573374
Electricity,OR,2014,60119907.2,47334953
Electricity,PA,2014,221058365.5,146687698
Electricity,RI,2014,6281748.22,7643104
Electricity,SC,2014,97158464.93,81619765
Electricity,SD,2014,10995239.76,12354726
Electricity,TN,2014,79506886.48,100219230
Electricity,TX,2014,437629667.9,389669820
Electricity,UT,2014,43784525.88,30043019
Electricity,VA,2014,77137438.41,112098381
Electricity,VT,2014,7031393.97,5569861
Electricity,WA,2014,116334362.5,92140777
Electricity,WI,2014,61064795.68,69494755
Electricity,WV,2014,81059576.67,32696106
Electricity,WY,2014,49696183.36,17134075
Electricity,AK,2013,6496821.64,6268212
Electricity,AL,2013,150572923.9,87852107
Electricity,AR,2013,60322492.14,46683034
Electricity,AZ,2013,113325986.1,75662037
Electricity,CA,2013,200077114.6,261332459
Electricity,CO,2013,52937435.91,53441649
Electricity,CT,2013,35610789.32,29824516
Electricity,DC,2013,65852.08,11085519
Electricity,DE,2013,7760861,11347856
Electricity,FL,2013,222398924,221919514
Electricity,GA,2013,120953734.3,130497470
Electricity,HI,2013,10267052.27,9503164
Electricity,IA,2013,56670756.92,46705216
Electricity,ID,2013,15186128.21,24208056
Electricity,IL,2013,203004919.5,141804888
Electricity,IN,2013,110403477.1,105487389
Electricity,KS,2013,48472581.3,39847397
Electricity,KY,2013,89741021.22,84763842
Electricity,LA,2013,102010177,85807932
Electricity,MA,2013,32885020.68,55265074
Electricity,MD,2013,35850812.33,61899478
Electricity,ME,2013,14030037.61,11855047
Electricity,MI,2013,105417800.6,103038305
Electricity,MN,2013,51296987.61,68644103
Electricity,MO,2013,91626592.93,83406957
Electricity,MS,2013,52810263.89,48781990
Electricity,MT,2013,27687326.31,14045174
Electricity,NC,2013,125936293.4,129779905
Electricity,ND,2013,35021672.73,16032967
Electricity,NE,2013,37104627.77,30700605
Electricity,NH,2013,19778520.45,11043276
Electricity,NJ,2013,64750941.71,74642399
Electricity,NM,2013,35870965.18,23065026
Electricity,NV,2013,36443873.59,35211215
Electricity,NY,2013,136116830,147895127
Electricity,OH,2013,137284188.7,150307018
Electricity,OK,2013,73673680.26,59929172
Electricity,OR,2013,59895514.66,47640978
Electricity,PA,2013,226785630.5,146253763
Electricity,RI,2013,6246806.72,7781122
Electricity,SC,2013,95249893.97,78602094
Electricity,SD,2013,10108886.5,12209799
Electricity,TN,2013,79651619.43,96944013
Electricity,TX,2013,433380165.7,378817254
Electricity,UT,2013,42516750.82,30474034
Electricity,VA,2013,76896565.06,110511827
Electricity,VT,2013,6884910,5587712
Electricity,WA,2013,114172916.2,92882723
Electricity,WI,2013,65962791.79,69124043
Electricity,WV,2013,75863066.64,31399850
Electricity,WY,2013,52483065.4,17053514
Electricity,AK,2012,6946419,6416411
Electricity,AL,2012,152878688,86182548
Electricity,AR,2012,65005678,46859567
Electricity,AZ,2012,110904994,75063343
Electricity,CA,2012,199518567,259538038
Electricity,CO,2012,52556701,53685297
Electricity,CT,2012,36117544,29492338
Electricity,DC,2012,71787,11258845
Electricity,DE,2012,8633694,11519331
Electricity,FL,2012,221096136,220674333
Electricity,GA,2012,122306364,130978872
Electricity,HI,2012,10469269,9639157
Electricity,IA,2012,56675406,45709100
Electricity,ID,2012,15499089,23711859
