Date,Florida,New York,Pennsylvania,Virginia,West Virginia,Illinois,Indiana,Kansas,Kentucky,Michigan,Missouri,Nebraska,North Dakota,Ohio,Oklahoma,South Dakota,Tennessee,Alabama,Arkansas,Louisana,Mississippi,New Mexico,Texas,Colorado,Idaho,Montana,Utah,Wyoming,Alaska,Arizona,California,Nevada
Aug-84,1128,71,363,3,284,2534,515,6551,706,2524,29,547,4579,1304,12207,117,76,1681,1600,15831,2809,6707,74123,2368,,2460,3238,10202,53393,18,32478,185
Sep-84,1162,69,351,3,363,2408,282,6039,616,2568,27,549,4332,1262,15259,112,71,1669,1548,15782,2696,6484,71958,2346,,2408,3158,10498,52819,18,31288,216
Oct-84,1178,71,363,2,329,2623,638,6628,714,2568,29,565,4515,1305,13941,121,80,1662,1600,16100,2730,6806,74016,2424,,2636,3187,10486,53677,17,32928,237
Nov-84,1149,69,351,2,296,2476,481,6342,600,2344,27,548,4299,1262,14265,122,71,1695,1548,15311,2641,6645,72024,2343,,2515,3219,10093,53420,15,31822,236
Dec-84,1157,71,363,3,294,2555,461,6350,678,2300,29,549,4424,1305,13945,124,70,1763,1600,15862,2682,6858,74466,2424,,2539,3152,10232,53316,16,32342,243
Jan-85,1062,92,412,3,268,2279,282,6087,552,2324,16,557,4367,1273,13829,126,74,1761,1501,15394,2593,6790,73331,2664,,2545,3213,10928,51059,14,32492,232
Feb-85,939,83,372,2,252,2062,356,5604,506,2103,12,514,3919,1149,12250,121,59,1634,1377,14082,2370,6064,66371,2301,,2341,2982,9945,52563,12,30091,212
Mar-85,1029,92,412,3,346,2537,572,6311,675,2283,14,588,4425,1273,13910,141,75,1862,1528,15871,2619,6825,74105,2626,,2564,3355,11184,57859,15,32925,245
Apr-85,1004,89,399,2,325,2600,455,6580,697,2173,13,580,4259,1232,13782,139,74,1761,1597,15372,2488,6593,73839,2569,,2409,3185,10702,53510,14,32173,240
May-85,1007,92,412,2,300,2591,448,6642,677,2350,15,605,4347,1273,14210,136,70,1886,1650,15800,2554,6697,74004,2608,,2576,3379,11097,58532,14,33536,239
Jun-85,969,89,399,2,293,2450,419,6044,642,2315,18,569,4257,1232,12834,131,64,1751,1597,15298,2547,6414,70958,2462,,2438,3366,10502,56118,14,32302,251
Jul-85,890,84,412,2,302,2706,516,6218,714,2343,29,586,4332,1273,13647,139,64,1863,1650,15897,2637,6574,73337,2486,,2508,3526,10885,56079,14,33154,272
Aug-85,885,84,412,2,312,2652,441,6517,684,2377,32,601,4346,1273,13917,135,66,1808,1650,15141,2616,6613,73533,2539,,2558,3558,10979,55642,18,33350,281
Sep-85,912,82,399,2,293,2551,435,6247,667,2277,29,583,4184,1232,12879,131,64,1767,1597,15078,2516,6361,70643,2455,,2478,3565,10730,56008,13,32739,251
Oct-85,955,96,412,2,330,2726,436,6746,700,2323,23,609,4318,1273,14263,134,64,1820,1650,15110,2619,6553,73585,2552,,2537,3582,11011,57338,16,34104,253
Nov-85,875,92,399,2,255,2571,427,5931,587,2252,22,572,4097,1232,13161,129,60,1680,1597,16226,2506,6345,71690,2457,,2397,3487,10297,54121,15,32908,263
Dec-85,931,96,411,2,279,2540,381,6480,689,2180,20,579,4006,1273,14057,134,52,1988,1650,15140,2576,6701,73822,2527,,2417,3594,10254,57404,16,34228,300
Jan-86,942,72,321,2,283,2664,262,6701,636,2235,18,640,4139,1142,14501,137,61,1917,1451,16012,2614,6798,74135,2640,,2448,3651,11049,57973,16,34258,305
Feb-86,808,69,292,1,263,2650,547,5710,552,2045,17,573,3758,1028,12593,125,52,1768,1322,14544,2384,6154,66752,2358,,2210,3333,9666,53402,13,31042,266
Mar-86,854,72,321,2,283,2502,232,6171,583,2251,9,642,4065,1142,13754,142,54,1953,1424,15939,2569,6743,73344,2640,,2420,3554,10988,57673,15,33669,262
Apr-86,842,70,311,1,294,2376,559,5879,582,2152,8,567,3908,1105,12799,124,57,1812,1352,15157,2529,6305,69397,2473,,2318,3395,10441,55092,14,31879,231
May-86,889,72,321,2,266,2267,381,5727,552,2267,8,627,3979,1142,12577,124,54,1834,1376,15283,2585,6503,70407,2529,,2338,3449,10535,59748,15,32521,236
Jun-86,824,70,311,1,246,2201,361,5542,552,2179,8,586,3786,1105,12058,128,55,1717,1292,14243,2435,6316,66802,2393,,2233,2931,10044,56597,14,31129,220
Jul-86,804,72,321,2,269,2241,527,5643,553,2182,8,596,3777,1142,12380,132,59,1780,1287,15834,2505,6344,68621,2406,,2264,3243,10228,58980,14,31790,224
Aug-86,752,72,321,2,235,2017,371,5188,497,2149,7,593,3727,1142,11618,135,47,1786,1285,14925,2533,6132,67529,2410,,2237,3163,10039,56146,13,30754,217
Sep-86,569,70,311,1,269,2158,227,5260,503,2011,7,567,3527,1105,11599,132,52,1651,1251,14255,2456,5941,64891,2316,,2159,2968,9559,53449,12,29780,204
Oct-86,697,72,321,2,278,2158,368,5097,528,2129,7,582,3666,1142,11965,137,56,1564,1292,14597,2515,6284,66638,2431,,2195,3143,9947,59748,11,30758,236
Nov-86,709,70,311,1,209,1901,477,4842,438,2027,6,556,3599,1105,11103,135,44,1631,1185,15172,2473,6027,64604,2322,,2093,3174,9579,56483,12,29661,252
Dec-86,693,72,321,1,250,2110,447,5274,499,2061,7,569,3697,1142,12158,135,53,1709,1261,15830,2399,6165,66475,2391,,2157,3168,9262,56019,12,30818,254
Jan-87,689,56,265,1,234,2000,333,5176,462,2275,7,540,3659,1009,10947,137,49,1733,1193,14816,2426,6127,66135,2382,,2148,3231,10048,62598,11,30621,267
Feb-87,590,56,258,1,229,1898,330,4710,459,2016,8,484,3291,977,10640,123,56,1579,1077,13477,2178,5566,60010,2169,,1966,2851,8951,51879,10,28128,239
Mar-87,701,64,288,1,259,2080,343,4604,493,2218,8,510,3617,1123,12093,134,55,1783,1267,15650,2423,6182,66167,2422,,2173,2875,9822,61007,11,31106,266
Apr-87,685,63,300,2,236,1985,345,5324,477,2168,7,510,3514,1023,11675,132,45,1669,1225,14868,2326,5903,63738,2349,,2104,2943,9516,59707,10,30062,255
May-87,728,64,280,1,237,1982,205,5004,489,2219,6,521,3546,1040,11055,141,45,1766,1244,14701,2429,6057,64459,2409,,2142,3100,9727,61357,11,30965,264
Jun-87,657,65,285,1,228,1995,313,5005,477,2175,9,509,3382,1007,11178,139,51,1741,1167,14004,2331,5805,61837,2396,,2041,2927,9380,57899,11,29950,244
Jul-87,703,59,279,1,247,2050,342,5199,493,2198,11,514,3509,1010,11416,141,54,1803,1184,14758,2447,6064,63677,2468,,2091,3056,9632,59202,11,30897,260
Aug-87,701,61,274,1,234,2007,213,4972,473,2199,14,506,3382,1006,11193,141,47,1778,1142,14846,2334,6134,63399,2465,,2098,2934,9705,59143,11,30919,263
Sep-87,686,57,269,2,239,1983,330,5008,471,2118,11,494,3338,989,10973,133,55,1692,1167,14132,2254,6036,61622,2423,,2022,2986,9260,56232,11,29985,259
Oct-87,713,56,274,1,240,2000,334,5099,490,2172,10,509,3399,1017,11624,142,54,1594,1204,15061,2350,6287,64129,2492,,2120,3079,9819,61563,12,31126,269
Nov-87,698,52,245,1,216,1900,308,4762,447,2089,7,491,3290,942,10791,137,50,1711,1173,14172,2250,6011,62107,2307,,2063,2890,9535,62042,10,30043,258
Dec-87,720,57,285,3,236,2100,342,5022,512,2125,11,504,3424,1010,10793,143,53,1758,1189,14542,2355,6156,63682,2520,,2092,2917,9871,63325,11,30807,268
Jan-88,712,44,215,1,205,1839,293,4872,400,2053,14,475,3356,980,10937,149,48,1827,1161,14368,2344,6162,63922,2528,,2042,2918,10046,61971,10,30547,261
Feb-88,652,47,230,1,229,1821,281,4872,441,1950,13,459,3159,996,10958,138,50,1703,1203,13547,2191,5821,59979,2510,,1918,2740,9400,60020,10,28559,242
Mar-88,685,53,262,3,252,2000,422,5201,432,2070,12,477,3379,1094,11222,144,50,1744,1219,14463,2319,6195,63853,2743,,2040,2859,9940,64668,10,30678,263
Apr-88,641,48,242,5,223,1876,303,4976,497,1977,13,473,3292,994,10924,138,55,1674,1190,13835,2255,5871,61281,2719,,1947,2824,9756,60877,8,29347,259
May-88,672,54,253,2,222,1931,310,5077,473,1969,16,497,3413,986,11252,141,51,1625,1217,14283,2292,5944,62750,2753,,2020,2957,9922,62492,10,30380,272
Jun-88,658,51,262,2,228,1971,320,5065,490,1923,14,491,3289,1033,10763,134,49,1712,1106,13341,2189,5831,60347,2760,,1933,2740,9456,59523,9,29348,266
Jul-88,683,44,234,1,206,1844,258,4802,444,1932,14,506,3348,945,10588,135,48,1835,1077,13700,2300,5931,61624,2796,,1970,2759,9645,60764,10,30208,277
Aug-88,668,47,251,2,228,1970,310,5053,476,1886,13,518,3324,982,10814,138,53,1781,1047,14248,2508,6020,61476,2789,,1977,2757,9356,62268,9,30011,284
Sep-88,627,44,230,1,209,1860,298,4745,454,1876,13,500,3174,971,10284,132,50,1754,1095,12541,2240,5789,59019,2671,,1878,2632,9069,60584,10,28861,275
Oct-88,573,44,227,3,214,1790,286,4765,440,1898,11,532,3292,964,10370,139,46,1706,1091,13530,2352,5997,61450,2758,,1911,2719,9385,62315,10,29837,283
Nov-88,573,45,213,2,194,1779,288,4569,445,1830,14,516,3146,836,10100,134,53,1691,1071,13428,2239,5758,59159,2649,,1837,2562,8907,60800,9,28237,274
Dec-88,601,42,207,2,212,1795,296,4828,467,1886,10,534,3171,934,10660,138,48,1745,1128,13721,2324,5915,60635,2675,,1868,2549,9102,61862,9,28718,275
Jan-89,650,44,216,3,205,1861,299,4876,467,1969,11,561,3178,984,10735,136,49,1743,1012,13695,2320,6132,60740,2730,,1844,2528,9462,60692,9,28431,271
Feb-89,558,36,205,2,178,1505,252,4104,375,1719,12,484,2827,805,8762,123,42,1553,893,11840,2062,5339,53515,2368,,1600,2237,8280,54939,8,25735,242
Mar-89,612,45,238,2,206,1752,309,4946,480,1869,9,533,3149,954,10466,135,52,1746,987,13212,2290,5977,59812,2680,,1813,2486,9381,52265,10,28413,266
Apr-89,594,41,221,2,192,1638,263,4715,623,1787,10,532,2989,860,10096,127,46,1696,951,12927,2270,5681,57725,2622,,1769,2309,9025,56700,11,27494,253
May-89,638,50,256,2,192,1768,297,4849,468,1828,14,532,3089,912,10202,139,46,1731,990,13255,2324,5918,59073,2666,,1824,2495,9276,61174,13,28341,270
Jun-89,588,47,248,2,191,1706,286,4641,451,1823,10,536,2943,868,9692,131,44,1668,937,12747,2345,5585,56383,2553,,1760,2068,8870,55828,13,27260,257
Jul-89,598,41,200,2,181,1749,278,4636,439,1807,12,538,3133,790,9870,138,44,1767,980,13275,2344,5765,58015,2546,,1766,2437,9107,53484,13,28143,269
Aug-89,608,45,247,2,191,1782,284,4780,458,1840,12,522,3098,870,9816,135,42,1750,982,12764,2380,5737,57916,2557,,1760,2433,8705,57963,13,28112,285
Sep-89,626,40,224,1,184,1699,260,4483,413,1735,10,505,2980,808,9540,131,43,1637,916,12389,2257,5534,55717,2424,,1706,2365,8877,56260,11,26915,290
Oct-89,665,38,236,2,192,1757,285,4642,455,1816,11,515,3159,830,9903,138,46,1495,882,12506,2361,5793,57467,2580,,1751,2425,9031,58198,13,27820,291
Nov-89,586,38,222,1,184,1708,271,4525,422,1686,12,484,3084,810,9456,137,42,1472,887,12595,2236,5642,55925,2478,,1674,2207,8731,57449,12,26858,265
Dec-89,566,33,185,2,147,1453,227,4288,363,1689,10,488,3115,724,8955,142,36,1555,844,12090,2214,5611,55881,2451,,1689,2425,8970,59027,11,27652,257
Jan-90,589,40,253,2,194,1849,286,4760,471,1766,15,496,3121,991,10401,143,47,1612,844,12614,2267,5781,58072,2567,,1705,2401,8987,57786,10,27322,314
Feb-90,553,33,208,2,178,1578,238,4211,392,1537,11,453,2827,799,8616,130,42,1467,951,11568,2034,5211,52687,2349,,1554,2227,8097,51350,10,24750,311
Mar-90,497,33,228,2,194,1737,262,4639,446,1716,13,500,3137,915,9556,143,45,1615,1044,12577,2264,5766,57594,2646,,1708,2410,8979,56381,11,27453,313
Apr-90,538,33,215,1,176,1595,246,4500,436,1625,12,492,3026,813,9145,133,47,1558,855,12058,2271,5499,55382,2557,,1631,2294,8578,54069,12,26530,325
May-90,522,34,227,2,177,1628,251,4651,440,1701,12,500,3121,796,9572,133,43,1622,901,12563,2272,5671,57044,2659,,1685,2388,8952,54725,9,27310,343
Jun-90,466,31,210,1,165,1569,243,4389,425,1583,12,482,2994,814,8998,130,38,1463,844,11997,2225,5407,54665,2514,,1592,2279,8586,48373,12,26307,337
Jul-90,451,32,207,1,155,1761,156,4640,449,1639,10,507,3071,727,9399,134,45,1532,897,12250,2256,5560,56603,2561,,1669,2293,8592,52286,11,26962,331
Aug-90,396,34,242,1,188,1760,297,4902,466,1656,12,513,3103,905,9822,140,46,1526,849,12503,2341,5657,57292,2552,,1684,2291,8715,53538,11,27004,356
Sep-90,389,32,217,1,177,1623,251,4524,448,1553,12,497,3020,811,9038,135,36,1551,794,12186,2219,5454,55515,2528,,1628,2218,8382,51046,9,26124,338
Oct-90,401,38,227,1,198,1711,280,5014,517,1665,12,504,3139,875,9758,145,42,1609,810,12606,2280,5836,58804,2598,,1680,2304,8859,58416,10,27482,358
Nov-90,408,40,200,1,174,1682,265,4698,499,1606,14,474,3059,806,9394,142,40,1400,803,12192,2253,5660,56998,2505,,1648,2255,8578,52373,10,26615,347
Dec-90,465,35,207,1,167,1461,225,4500,420,1629,11,471,3099,756,8574,140,35,1583,794,12468,2352,5748,57822,2417,,1626,2244,8551,56966,6,27009,338
Jan-91,410,35,227,1,174,1549,227,4741,434,1649,13,485,3120,755,9197,144,37,1631,900,12555,2333,6044,59433,2602,,1666,2251,8708,57283,10,27126,338
Feb-91,358,37,214,1,157,1430,260,4691,425,1500,11,446,2847,776,8658,131,34,1495,827,11759,1947,5538,54071,2418,,1539,2062,7879,53410,9,24735,311
Mar-91,372,32,198,1,162,1662,254,4984,388,1563,12,494,3146,731,9505,142,43,1623,915,12500,2285,6080,59299,2664,,1709,2277,8637,58496,10,27190,340
Apr-91,419,35,219,2,169,1378,269,4914,545,1525,10,480,3033,798,9285,138,40,1491,824,12321,2314,5932,57138,2608,,1645,2213,8344,53933,9,26396,329
May-91,383,34,218,1,180,1701,246,4986,417,1518,13,493,3139,795,9405,138,42,1503,849,12501,2328,6026,58502,2720,,1686,2033,8429,54890,11,27239,319
Jun-91,192,35,201,1,153,1547,241,4645,443,1419,11,477,2997,733,8911,135,40,1511,806,12011,2274,5712,55333,2634,,1589,2021,8115,52700,10,26378,278
Jul-91,327,37,222,1,166,1751,265,4910,499,1491,14,492,3075,789,9207,144,41,1585,848,12183,2386,5790,57078,2646,,1660,2097,8393,55039,8,27101,259
Aug-91,379,37,213,1,156,1688,255,4847,475,1445,12,500,3037,767,9081,145,41,1619,855,12538,2322,5882,57332,2643,,1656,2038,8502,53657,10,27264,256
Sep-91,426,33,202,1,156,1589,248,4551,461,1353,14,485,2827,735,8574,133,40,1409,813,12226,2204,5680,55302,2551,,1597,2022,8081,53604,9,26209,264
Oct-91,496,42,229,1,178,1678,261,4712,325,1388,13,502,2928,810,8987,138,42,1460,901,12116,2236,5984,57160,2623,,1639,1856,8289,57118,9,27033,254
Nov-91,481,34,194,1,145,1512,230,4375,583,1315,13,480,2821,732,8542,135,43,1617,860,11904,2147,5752,55424,2557,,1579,1797,8079,52952,7,26112,210
Dec-91,482,36,194,1,167,1583,258,4572,490,1354,13,498,2921,735,8742,139,42,1693,907,12456,2279,5997,56544,2716,,1614,1800,8472,53267,9,26714,255
Jan-92,483,35,211,1,168,1604,250,4841,454,1408,11,487,2878,770,8762,138,44,1677,905,12445,2192,5903,56323,2566,,1599,1664,8495,55457,9,26278,250
Feb-92,444,22,162,1,168,1527,234,4319,440,1321,13,454,2707,737,8233,128,45,1533,861,11644,2021,5719,52552,2435,,1487,1902,7877,52428,8,24461,237
Mar-92,431,35,205,1,179,1618,265,4668,354,1365,13,478,2861,805,8968,131,41,1623,881,12339,2112,6048,56220,2532,,1603,2028,8346,55345,8,26155,252
Apr-92,429,32,189,1,183,1600,248,4589,575,1300,13,466,2745,813,8708,127,49,1589,882,11926,2072,5830,54054,2546,,1541,1851,8044,52233,8,25256,271
May-92,454,33,171,1,158,1592,241,4511,446,1344,12,476,2807,748,8524,132,46,1558,810,12225,2152,5991,54953,2561,,1582,1991,8306,52152,8,26128,316
Jun-92,457,36,184,1,160,1619,261,4459,451,1291,13,450,2685,787,8392,130,46,1547,779,11858,2118,5746,52661,2458,,1504,1901,7943,51094,8,25157,305
Jul-92,407,37,175,1,185,1652,253,4533,467,1342,12,458,2755,757,8630,129,38,1592,791,12254,2153,5888,54505,2477,,1544,1959,8259,51291,8,25916,320
Aug-92,456,37,171,1,180,1618,246,4375,482,1310,12,449,2772,733,8597,133,40,1591,893,11052,2134,5889,54719,2434,,1573,1933,8127,50681,9,25680,324
Sep-92,453,36,164,1,178,1609,248,4344,481,1274,12,443,2679,747,8187,125,40,1488,877,11242,2027,5679,52929,2468,,1516,1876,7827,51011,8,24833,341
Oct-92,469,37,170,1,184,1600,262,4421,458,1300,11,451,2737,797,8454,132,39,1620,897,12593,2123,5816,54834,2557,,1551,1885,7973,52576,9,25620,360
Nov-92,462,30,162,1,156,1610,238,4036,285,1096,10,429,2605,724,7755,125,36,1570,787,11421,1982,5626,52601,2335,,1494,1848,7748,50213,7,24722,376
Dec-92,479,34,173,1,168,1655,270,4517,586,1230,10,435,2662,778,8597,128,36,1637,897,12076,2095,5837,54274,2418,,1487,1882,7866,52841,7,25282,369
Jan-93,488,26,167,1,167,1486,247,4067,375,1179,10,421,2664,680,8208,128,36,1623,865,11798,2049,5848,54148,2454,,1465,1930,7651,51284,6,24918,255
Feb-93,385,23,147,1,170,1279,209,3584,445,1079,9,378,2441,604,7416,115,30,1427,789,10779,1858,5360,48839,2280,,1349,1734,6597,45585,5,22584,163
Mar-93,436,29,174,1,172,1551,129,4345,393,1220,12,422,2694,732,8746,131,34,1507,863,11959,2007,5912,53801,2573,,1497,1940,7663,50812,6,24878,185
Apr-93,453,31,183,1,178,1482,383,4250,516,1160,11,409,2553,726,8185,124,38,1469,843,11521,1928,5633,51690,2239,,1450,1875,7279,47610,7,23763,186
May-93,475,29,164,1,181,1447,230,4116,351,1142,11,424,2636,661,8103,124,33,1486,869,11963,1873,5580,52838,2870,,1489,1838,7514,48606,7,24910,166
Jun-93,449,33,178,1,161,1420,161,4190,486,1152,13,414,2573,719,8153,122,41,1471,796,11517,1832,5570,50734,2369,,1429,1817,7377,45609,7,23671,141
Jul-93,470,29,164,1,173,1450,235,4871,317,1153,10,417,2625,679,8268,125,35,1553,834,11728,1920,5712,51722,2429,,1451,1836,7477,44683,6,24874,140
Aug-93,489,30,171,1,177,1525,254,4112,443,1163,11,408,2587,661,8134,124,35,1656,832,11753,1814,5711,51853,2426,,1504,1811,7375,47365,4,25025,137
Sep-93,479,26,174,1,176,1505,228,4085,408,1050,12,391,2548,721,7889,125,34,1632,835,11221,1849,5531,50005,2347,,1442,1735,7140,44123,6,24209,129
Oct-93,501,27,184,0,171,1400,240,4005,293,1243,12,426,2626,727,8078,132,37,1662,826,11647,1832,5822,51726,2433,,1491,1795,7330,49925,7,25114,132
Nov-93,480,27,174,1,168,1460,215,3957,296,1225,11,375,2478,665,7765,126,35,1582,841,11226,1777,5766,50183,2452,,1422,1714,6965,50103,6,24253,122
Dec-93,499,26,156,1,154,1400,229,4043,272,1030,11,384,2490,708,7680,126,31,1610,782,11560,1874,5977,51551,2526,,1459,1795,7301,51789,6,24891,123
Jan-94,490,20,177,0,99,1262,186,3912,303,1072,10,377,2370,544,7919,124,24,1588,838,10975,1805,5803,51754,2395,,1414,1766,7299,51398,4,24331,166
Feb-94,482,20,182,1,156,1357,211,3500,431,982,10,335,2122,684,7124,114,33,1379,722,9858,1621,5238,46561,2283,,1237,1617,6556,44718,4,21966,124
