YEAR,MONTH,STATE,TYPE OF PRODUCER,ENERGY SOURCE              (UNITS),CONSUMPTION
2001,1,ND,Total Electric Power Industry,Coal (Short Tons),2237857
2001,1,ND,Total Electric Power Industry,Petroleum (Barrels),8076
2001,1,ND,Total Electric Power Industry,Natural Gas (Mcf),1890
2001,1,NE,Total Electric Power Industry,Coal (Short Tons),1161247
2001,1,NE,Total Electric Power Industry,Petroleum (Barrels),7440
2001,1,NE,Total Electric Power Industry,Natural Gas (Mcf),62411
2001,1,NH,Total Electric Power Industry,Coal (Short Tons),158114
2001,1,NH,Total Electric Power Industry,Petroleum (Barrels),20742
2001,1,NH,Total Electric Power Industry,Natural Gas (Mcf),78900
2001,1,NJ,Total Electric Power Industry,Coal (Short Tons),513967
2001,1,NJ,Total Electric Power Industry,Petroleum (Barrels),523862
2001,1,NJ,Total Electric Power Industry,Natural Gas (Mcf),7015020
2001,1,NM,Total Electric Power Industry,Coal (Short Tons),1477808
2001,1,NM,Total Electric Power Industry,Petroleum (Barrels),25718
2001,1,NM,Total Electric Power Industry,Natural Gas (Mcf),2803433
2001,1,NV,Total Electric Power Industry,Coal (Short Tons),657751
2001,1,NV,Total Electric Power Industry,Petroleum (Barrels),238839
2001,1,NV,Total Electric Power Industry,Natural Gas (Mcf),10310169
2001,1,NY,Total Electric Power Industry,Coal (Short Tons),982238
2001,1,NY,Total Electric Power Industry,Petroleum (Barrels),4845871
2001,1,NY,Total Electric Power Industry,Natural Gas (Mcf),15189540
2001,1,OH,Total Electric Power Industry,Coal (Short Tons),4954707
2001,1,OH,Total Electric Power Industry,Petroleum (Barrels),105092
2001,1,OH,Total Electric Power Industry,Natural Gas (Mcf),393607
2001,1,OK,Total Electric Power Industry,Coal (Short Tons),1884803
2001,1,OK,Total Electric Power Industry,Petroleum (Barrels),236870
2001,1,OK,Total Electric Power Industry,Natural Gas (Mcf),9844619
2001,1,OR,Total Electric Power Industry,Coal (Short Tons),218077
2001,1,OR,Total Electric Power Industry,Petroleum (Barrels),110456
2001,1,OR,Total Electric Power Industry,Natural Gas (Mcf),6575446
2001,1,PA,Total Electric Power Industry,Coal (Short Tons),4699883
2001,1,PA,Total Electric Power Industry,Petroleum (Barrels),1005652
2001,1,PA,Total Electric Power Industry,Natural Gas (Mcf),1071130
2001,1,RI,Total Electric Power Industry,Petroleum (Barrels),44100
2001,1,RI,Total Electric Power Industry,Natural Gas (Mcf),3406620
2001,1,SC,Total Electric Power Industry,Coal (Short Tons),1414507
2001,1,SC,Total Electric Power Industry,Petroleum (Barrels),133449
2001,1,SC,Total Electric Power Industry,Natural Gas (Mcf),360331
2001,1,SD,Total Electric Power Industry,Coal (Short Tons),197137
2001,1,SD,Total Electric Power Industry,Petroleum (Barrels),49116
2001,1,SD,Total Electric Power Industry,Natural Gas (Mcf),106694
2001,1,TN,Total Electric Power Industry,Coal (Short Tons),2454850
2001,1,TN,Total Electric Power Industry,Petroleum (Barrels),455398
2001,1,TN,Total Electric Power Industry,Natural Gas (Mcf),175580
2001,1,TX,Total Electric Power Industry,Coal (Short Tons),7979784
2001,1,TX,Total Electric Power Industry,Petroleum (Barrels),2753073
2001,1,TX,Total Electric Power Industry,Natural Gas (Mcf),117616775
2001,1,UT,Total Electric Power Industry,Coal (Short Tons),1234359
2001,1,UT,Total Electric Power Industry,Petroleum (Barrels),7059
2001,1,UT,Total Electric Power Industry,Natural Gas (Mcf),1576808
2001,1,VA,Total Electric Power Industry,Coal (Short Tons),1394053
2001,1,VA,Total Electric Power Industry,Petroleum (Barrels),1019395
2001,1,VA,Total Electric Power Industry,Natural Gas (Mcf),1744687
2001,1,VT,Total Electric Power Industry,Petroleum (Barrels),38577
2001,1,VT,Total Electric Power Industry,Natural Gas (Mcf),30519
2001,1,WA,Total Electric Power Industry,Coal (Short Tons),544760
2001,1,WA,Total Electric Power Industry,Petroleum (Barrels),414358
2001,1,WA,Total Electric Power Industry,Natural Gas (Mcf),7000832
2001,1,WI,Total Electric Power Industry,Coal (Short Tons),2261026
2001,1,WI,Total Electric Power Industry,Petroleum (Barrels),95392
2001,1,WI,Total Electric Power Industry,Natural Gas (Mcf),1024798
2001,1,WV,Total Electric Power Industry,Coal (Short Tons),3448720
2001,1,WV,Total Electric Power Industry,Petroleum (Barrels),35244
2001,1,WV,Total Electric Power Industry,Natural Gas (Mcf),121862
2001,1,WY,Total Electric Power Industry,Coal (Short Tons),2339385
2001,1,WY,Total Electric Power Industry,Petroleum (Barrels),5589
2001,1,WY,Total Electric Power Industry,Natural Gas (Mcf),663041
2001,2,AK,Total Electric Power Industry,Coal (Short Tons),57587
2001,2,AK,Total Electric Power Industry,Petroleum (Barrels),119951
2001,2,AK,Total Electric Power Industry,Natural Gas (Mcf),3732324
2001,2,AL,Total Electric Power Industry,Coal (Short Tons),2679104
2001,2,AL,Total Electric Power Industry,Petroleum (Barrels),86653
2001,2,AL,Total Electric Power Industry,Natural Gas (Mcf),3779086
2001,2,AR,Total Electric Power Industry,Coal (Short Tons),998515
2001,2,AR,Total Electric Power Industry,Petroleum (Barrels),93610
2001,2,AR,Total Electric Power Industry,Natural Gas (Mcf),651849
2001,2,AZ,Total Electric Power Industry,Coal (Short Tons),1488991
2001,2,AZ,Total Electric Power Industry,Petroleum (Barrels),131222
2001,2,AZ,Total Electric Power Industry,Natural Gas (Mcf),10171420
2001,2,CA,Total Electric Power Industry,Coal (Short Tons),82330
2001,2,CA,Total Electric Power Industry,Petroleum (Barrels),746165
2001,2,CA,Total Electric Power Industry,Natural Gas (Mcf),82259189
2001,2,CO,Total Electric Power Industry,Coal (Short Tons),1552250
2001,2,CO,Total Electric Power Industry,Petroleum (Barrels),47510
2001,2,CO,Total Electric Power Industry,Natural Gas (Mcf),6579095
2001,2,CT,Total Electric Power Industry,Coal (Short Tons),138890
2001,2,CT,Total Electric Power Industry,Petroleum (Barrels),821193
2001,2,CT,Total Electric Power Industry,Natural Gas (Mcf),1540170
2001,2,DC,Total Electric Power Industry,Petroleum (Barrels),490
2001,2,DE,Total Electric Power Industry,Coal (Short Tons),183791
2001,2,DE,Total Electric Power Industry,Petroleum (Barrels),122935
2001,2,DE,Total Electric Power Industry,Natural Gas (Mcf),188722
2001,2,FL,Total Electric Power Industry,Coal (Short Tons),2165738
2001,2,FL,Total Electric Power Industry,Petroleum (Barrels),3928766
2001,2,FL,Total Electric Power Industry,Natural Gas (Mcf),15622525
2001,2,GA,Total Electric Power Industry,Coal (Short Tons),2116017
2001,2,GA,Total Electric Power Industry,Petroleum (Barrels),163794
2001,2,GA,Total Electric Power Industry,Natural Gas (Mcf),981069
2001,2,HI,Total Electric Power Industry,Coal (Short Tons),59380
2001,2,HI,Total Electric Power Industry,Petroleum (Barrels),1004502
2001,2,HI,Total Electric Power Industry,Natural Gas (Mcf),0
2001,2,IA,Total Electric Power Industry,Coal (Short Tons),1716400
2001,2,IA,Total Electric Power Industry,Petroleum (Barrels),16661
2001,2,IA,Total Electric Power Industry,Natural Gas (Mcf),417611
2001,2,ID,Total Electric Power Industry,Coal (Short Tons),2480
2001,2,ID,Total Electric Power Industry,Petroleum (Barrels),1946
2001,2,ID,Total Electric Power Industry,Natural Gas (Mcf),190620
2001,2,IL,Total Electric Power Industry,Coal (Short Tons),3544096
2001,2,IL,Total Electric Power Industry,Petroleum (Barrels),169290
2001,2,IL,Total Electric Power Industry,Natural Gas (Mcf),3109755
2001,2,IN,Total Electric Power Industry,Coal (Short Tons),4468558
2001,2,IN,Total Electric Power Industry,Petroleum (Barrels),69579
2001,2,IN,Total Electric Power Industry,Natural Gas (Mcf),2204669
2001,2,KS,Total Electric Power Industry,Coal (Short Tons),1583675
2001,2,KS,Total Electric Power Industry,Petroleum (Barrels),144476
