YEAR,MONTH,STATE,TYPE OF PRODUCER,ENERGY SOURCE              (UNITS),CONSUMPTION
2005,6,DE,Total Electric Power Industry,Coal (Short Tons),187199.82
2005,6,DE,Total Electric Power Industry,Petroleum (Barrels),212627.28
2005,6,DE,Total Electric Power Industry,Natural Gas (Mcf),1469455.03
2005,6,FL,Total Electric Power Industry,Coal (Short Tons),2329878.75
2005,6,FL,Total Electric Power Industry,Petroleum (Barrels),5684763.86
2005,6,FL,Total Electric Power Industry,Natural Gas (Mcf),59457008.1
2005,6,GA,Total Electric Power Industry,Coal (Short Tons),3598127.86
2005,6,GA,Total Electric Power Industry,Petroleum (Barrels),76882.13
2005,6,GA,Total Electric Power Industry,Natural Gas (Mcf),8450071.43
2005,6,HI,Total Electric Power Industry,Coal (Short Tons),59081.47
2005,6,HI,Total Electric Power Industry,Petroleum (Barrels),1152297.37
2005,6,IA,Total Electric Power Industry,Coal (Short Tons),2050758.22
2005,6,IA,Total Electric Power Industry,Petroleum (Barrels),38800.3
2005,6,IA,Total Electric Power Industry,Natural Gas (Mcf),2257979.22
2005,6,ID,Total Electric Power Industry,Coal (Short Tons),1897.76
2005,6,ID,Total Electric Power Industry,Petroleum (Barrels),1.28
2005,6,ID,Total Electric Power Industry,Natural Gas (Mcf),268556.6
2005,6,IL,Total Electric Power Industry,Coal (Short Tons),4743881.07
2005,6,IL,Total Electric Power Industry,Petroleum (Barrels),56113.15
2005,6,IL,Total Electric Power Industry,Natural Gas (Mcf),10777716.6
2005,6,IN,Total Electric Power Industry,Coal (Short Tons),5323212.19
2005,6,IN,Total Electric Power Industry,Petroleum (Barrels),19896.28
2005,6,IN,Total Electric Power Industry,Natural Gas (Mcf),5215283.96
2005,6,KS,Total Electric Power Industry,Coal (Short Tons),1944432.34
2005,6,KS,Total Electric Power Industry,Petroleum (Barrels),133293.44
2005,6,KS,Total Electric Power Industry,Natural Gas (Mcf),1820572.02
2005,6,KY,Total Electric Power Industry,Coal (Short Tons),3491711.55
2005,6,KY,Total Electric Power Industry,Petroleum (Barrels),604962.25
2005,6,KY,Total Electric Power Industry,Natural Gas (Mcf),3388906.88
2005,6,LA,Total Electric Power Industry,Coal (Short Tons),1362801.52
2005,6,LA,Total Electric Power Industry,Petroleum (Barrels),726049.1
2005,6,LA,Total Electric Power Industry,Natural Gas (Mcf),41481330
2005,6,MA,Total Electric Power Industry,Coal (Short Tons),434518.37
2005,6,MA,Total Electric Power Industry,Petroleum (Barrels),598648.8
2005,6,MA,Total Electric Power Industry,Natural Gas (Mcf),15516252.6
2005,6,MD,Total Electric Power Industry,Coal (Short Tons),1063313.22
2005,6,MD,Total Electric Power Industry,Petroleum (Barrels),867281.78
2005,6,MD,Total Electric Power Industry,Natural Gas (Mcf),2560336.33
2005,6,ME,Total Electric Power Industry,Coal (Short Tons),5722.91
2005,6,ME,Total Electric Power Industry,Petroleum (Barrels),74276.43
2005,6,ME,Total Electric Power Industry,Natural Gas (Mcf),5557472.44
2005,6,MI,Total Electric Power Industry,Coal (Short Tons),3282988.18
2005,6,MI,Total Electric Power Industry,Petroleum (Barrels),299399.98
2005,6,MI,Total Electric Power Industry,Natural Gas (Mcf),14231656.4
2005,6,MN,Total Electric Power Industry,Coal (Short Tons),1802208.37
2005,6,MN,Total Electric Power Industry,Petroleum (Barrels),150326.87
2005,6,MN,Total Electric Power Industry,Natural Gas (Mcf),3621839.54
2005,6,MO,Total Electric Power Industry,Coal (Short Tons),3697552.37
2005,6,MO,Total Electric Power Industry,Petroleum (Barrels),78986.38
2005,6,MO,Total Electric Power Industry,Natural Gas (Mcf),3902670.07
2005,6,MS,Total Electric Power Industry,Coal (Short Tons),954877.43
2005,6,MS,Total Electric Power Industry,Petroleum (Barrels),377740.58
2005,6,MS,Total Electric Power Industry,Natural Gas (Mcf),14673367.7
2005,6,MT,Total Electric Power Industry,Coal (Short Tons),893662.87
2005,6,MT,Total Electric Power Industry,Petroleum (Barrels),58102.34
2005,6,MT,Total Electric Power Industry,Natural Gas (Mcf),30833.55
2005,6,NC,Total Electric Power Industry,Coal (Short Tons),2676920.93
2005,6,NC,Total Electric Power Industry,Petroleum (Barrels),38857.46
2005,6,NC,Total Electric Power Industry,Natural Gas (Mcf),2369403.67
2005,6,ND,Total Electric Power Industry,Coal (Short Tons),1855679.03
2005,6,ND,Total Electric Power Industry,Petroleum (Barrels),9149.62
2005,6,ND,Total Electric Power Industry,Natural Gas (Mcf),3209.71
2005,6,NE,Total Electric Power Industry,Coal (Short Tons),983934.93
2005,6,NE,Total Electric Power Industry,Petroleum (Barrels),4255.85
2005,6,NE,Total Electric Power Industry,Natural Gas (Mcf),1273989.84
2005,6,NH,Total Electric Power Industry,Coal (Short Tons),152642
2005,6,NH,Total Electric Power Industry,Petroleum (Barrels),85633.74
2005,6,NH,Total Electric Power Industry,Natural Gas (Mcf),4768001.06
2005,6,NJ,Total Electric Power Industry,Coal (Short Tons),430281.7
2005,6,NJ,Total Electric Power Industry,Petroleum (Barrels),182430.15
2005,6,NJ,Total Electric Power Industry,Natural Gas (Mcf),13173223.7
2005,6,NM,Total Electric Power Industry,Coal (Short Tons),1456166.97
2005,6,NM,Total Electric Power Industry,Petroleum (Barrels),2392.66
2005,6,NM,Total Electric Power Industry,Natural Gas (Mcf),4772448.57
2005,6,NV,Total Electric Power Industry,Coal (Short Tons),757093
2005,6,NV,Total Electric Power Industry,Petroleum (Barrels),1703.83
2005,6,NV,Total Electric Power Industry,Natural Gas (Mcf),10912656.9
2005,6,NY,Total Electric Power Industry,Coal (Short Tons),750016.61
2005,6,NY,Total Electric Power Industry,Petroleum (Barrels),3445715.3
2005,6,NY,Total Electric Power Industry,Natural Gas (Mcf),33053976.6
2005,6,OH,Total Electric Power Industry,Coal (Short Tons),5124744.57
2005,6,OH,Total Electric Power Industry,Petroleum (Barrels),212797.72
2005,6,OH,Total Electric Power Industry,Natural Gas (Mcf),4457865.9
2005,6,OK,Total Electric Power Industry,Coal (Short Tons),1958385.6
2005,6,OK,Total Electric Power Industry,Petroleum (Barrels),6458.37
2005,6,OK,Total Electric Power Industry,Natural Gas (Mcf),29848547.9
2005,6,OR,Total Electric Power Industry,Coal (Short Tons),241910
2005,6,OR,Total Electric Power Industry,Petroleum (Barrels),85.66
2005,6,OR,Total Electric Power Industry,Natural Gas (Mcf),3099442.55
2005,6,PA,Total Electric Power Industry,Coal (Short Tons),4576713.35
2005,6,PA,Total Electric Power Industry,Petroleum (Barrels),920441.26
2005,6,PA,Total Electric Power Industry,Natural Gas (Mcf),10028609.1
2005,6,RI,Total Electric Power Industry,Petroleum (Barrels),11534.46
2005,6,RI,Total Electric Power Industry,Natural Gas (Mcf),4617710.69
2005,6,SC,Total Electric Power Industry,Coal (Short Tons),1369907.7
2005,6,SC,Total Electric Power Industry,Petroleum (Barrels),70509.26
2005,6,SC,Total Electric Power Industry,Natural Gas (Mcf),4309954.28
2005,6,SD,Total Electric Power Industry,Coal (Short Tons),159597.49
2005,6,SD,Total Electric Power Industry,Petroleum (Barrels),24064.93
2005,6,SD,Total Electric Power Industry,Natural Gas (Mcf),615682.5
2005,6,TN,Total Electric Power Industry,Coal (Short Tons),2283689.78
2005,6,TN,Total Electric Power Industry,Petroleum (Barrels),17491.46
2005,6,TN,Total Electric Power Industry,Natural Gas (Mcf),493987.36
2005,6,TX,Total Electric Power Industry,Coal (Short Tons),9003477
2005,6,TX,Total Electric Power Industry,Petroleum (Barrels),233257.04
2005,6,TX,Total Electric Power Industry,Natural Gas (Mcf),166066806
2005,6,UT,Total Electric Power Industry,Coal (Short Tons),1475382.42
2005,6,UT,Total Electric Power Industry,Petroleum (Barrels),5764.1
2005,6,UT,Total Electric Power Industry,Natural Gas (Mcf),1252590.56
2005,6,VA,Total Electric Power Industry,Coal (Short Tons),1146376.37
2005,6,VA,Total Electric Power Industry,Petroleum (Barrels),527808.46
2005,6,VA,Total Electric Power Industry,Natural Gas (Mcf),8171229.49
2005,6,VT,Total Electric Power Industry,Petroleum (Barrels),2397.42
2005,6,VT,Total Electric Power Industry,Natural Gas (Mcf),2481
2005,6,WA,Total Electric Power Industry,Coal (Short Tons),562453.72
2005,6,WA,Total Electric Power Industry,Petroleum (Barrels),7873.51
2005,6,WA,Total Electric Power Industry,Natural Gas (Mcf),2418373.93
2005,6,WI,Total Electric Power Industry,Coal (Short Tons),2181057.73
2005,6,WI,Total Electric Power Industry,Petroleum (Barrels),145279.87
2005,6,WI,Total Electric Power Industry,Natural Gas (Mcf),9238952.31
2005,6,WV,Total Electric Power Industry,Coal (Short Tons),3164745.26
2005,6,WV,Total Electric Power Industry,Petroleum (Barrels),34935.6
2005,6,WV,Total Electric Power Industry,Natural Gas (Mcf),203039.82
2005,6,WY,Total Electric Power Industry,Coal (Short Tons),2202455.67
2005,6,WY,Total Electric Power Industry,Petroleum (Barrels),8947.65
2005,6,WY,Total Electric Power Industry,Natural Gas (Mcf),718936.71
2005,7,AK,Total Electric Power Industry,Coal (Short Tons),43571.53
2005,7,AK,Total Electric Power Industry,Petroleum (Barrels),110033.55
2005,7,AK,Total Electric Power Industry,Natural Gas (Mcf),3731504.31
2005,7,AL,Total Electric Power Industry,Coal (Short Tons),3314393.59
2005,7,AL,Total Electric Power Industry,Petroleum (Barrels),32612.29
2005,7,AL,Total Electric Power Industry,Natural Gas (Mcf),16553620.2
2005,7,AR,Total Electric Power Industry,Coal (Short Tons),1214385.2
2005,7,AR,Total Electric Power Industry,Petroleum (Barrels),38432.18
2005,7,AR,Total Electric Power Industry,Natural Gas (Mcf),7670556.3
2005,7,AZ,Total Electric Power Industry,Coal (Short Tons),1925142.5
2005,7,AZ,Total Electric Power Industry,Petroleum (Barrels),2835.68
2005,7,AZ,Total Electric Power Industry,Natural Gas (Mcf),30809575.2
2005,7,CA,Total Electric Power Industry,Coal (Short Tons),72951.82
2005,7,CA,Total Electric Power Industry,Petroleum (Barrels),456533.49
2005,7,CA,Total Electric Power Industry,Natural Gas (Mcf),87501438
2005,7,CO,Total Electric Power Industry,Coal (Short Tons),1622244.77
2005,7,CO,Total Electric Power Industry,Petroleum (Barrels),5119.69
2005,7,CO,Total Electric Power Industry,Natural Gas (Mcf),11105800.8
2005,7,CT,Total Electric Power Industry,Coal (Short Tons),189010.87
2005,7,CT,Total Electric Power Industry,Petroleum (Barrels),595703.2
2005,7,CT,Total Electric Power Industry,Natural Gas (Mcf),7009637.02
2005,7,DC,Total Electric Power Industry,Petroleum (Barrels),201784
2005,7,DE,Total Electric Power Industry,Coal (Short Tons),201616.59
2005,7,DE,Total Electric Power Industry,Petroleum (Barrels),259041.85
2005,7,DE,Total Electric Power Industry,Natural Gas (Mcf),2006560.81
2005,7,FL,Total Electric Power Industry,Coal (Short Tons),2430180.24
2005,7,FL,Total Electric Power Industry,Petroleum (Barrels),7359553.06
2005,7,FL,Total Electric Power Industry,Natural Gas (Mcf),80883634.7
2005,7,GA,Total Electric Power Industry,Coal (Short Tons),3827587.69
2005,7,GA,Total Electric Power Industry,Petroleum (Barrels),114371.19
2005,7,GA,Total Electric Power Industry,Natural Gas (Mcf),13599542.3
2005,7,HI,Total Electric Power Industry,Coal (Short Tons),60349.73
2005,7,HI,Total Electric Power Industry,Petroleum (Barrels),1327129.24
2005,7,IA,Total Electric Power Industry,Coal (Short Tons),2143491.24
2005,7,IA,Total Electric Power Industry,Petroleum (Barrels),31802.18
2005,7,IA,Total Electric Power Industry,Natural Gas (Mcf),2620745.55
2005,7,ID,Total Electric Power Industry,Coal (Short Tons),2117.34
2005,7,ID,Total Electric Power Industry,Petroleum (Barrels),1.3
2005,7,ID,Total Electric Power Industry,Natural Gas (Mcf),907378.19
2005,7,IL,Total Electric Power Industry,Coal (Short Tons),5035266.63
2005,7,IL,Total Electric Power Industry,Petroleum (Barrels),65156.79
2005,7,IL,Total Electric Power Industry,Natural Gas (Mcf),11896796.1
2005,7,IN,Total Electric Power Industry,Coal (Short Tons),5509271.37
2005,7,IN,Total Electric Power Industry,Petroleum (Barrels),26979.31
2005,7,IN,Total Electric Power Industry,Natural Gas (Mcf),6408229.61
2005,7,KS,Total Electric Power Industry,Coal (Short Tons),2124437.69
2005,7,KS,Total Electric Power Industry,Petroleum (Barrels),184880.26
2005,7,KS,Total Electric Power Industry,Natural Gas (Mcf),2639945.12
2005,7,KY,Total Electric Power Industry,Coal (Short Tons),3751954.05
2005,7,KY,Total Electric Power Industry,Petroleum (Barrels),630047.29
2005,7,KY,Total Electric Power Industry,Natural Gas (Mcf),2807811.62
2005,7,LA,Total Electric Power Industry,Coal (Short Tons),1477125.12
2005,7,LA,Total Electric Power Industry,Petroleum (Barrels),526255.73
2005,7,LA,Total Electric Power Industry,Natural Gas (Mcf),43696580.2
2005,7,MA,Total Electric Power Industry,Coal (Short Tons),458022.65
2005,7,MA,Total Electric Power Industry,Petroleum (Barrels),824935.14
2005,7,MA,Total Electric Power Industry,Natural Gas (Mcf),18075900.7
2005,7,MD,Total Electric Power Industry,Coal (Short Tons),1195125.33
2005,7,MD,Total Electric Power Industry,Petroleum (Barrels),1029719.82
2005,7,MD,Total Electric Power Industry,Natural Gas (Mcf),2929980.07
2005,7,ME,Total Electric Power Industry,Coal (Short Tons),6428.31
2005,7,ME,Total Electric Power Industry,Petroleum (Barrels),151683.19
2005,7,ME,Total Electric Power Industry,Natural Gas (Mcf),6282815.79
2005,7,MI,Total Electric Power Industry,Coal (Short Tons),3445887.04
2005,7,MI,Total Electric Power Industry,Petroleum (Barrels),201899.6
2005,7,MI,Total Electric Power Industry,Natural Gas (Mcf),18283580.8
2005,7,MN,Total Electric Power Industry,Coal (Short Tons),1893695.91
2005,7,MN,Total Electric Power Industry,Petroleum (Barrels),128347.36
2005,7,MN,Total Electric Power Industry,Natural Gas (Mcf),4478215.47
2005,7,MO,Total Electric Power Industry,Coal (Short Tons),4023883.84
2005,7,MO,Total Electric Power Industry,Petroleum (Barrels),30028.51
2005,7,MO,Total Electric Power Industry,Natural Gas (Mcf),5541300.71
2005,7,MS,Total Electric Power Industry,Coal (Short Tons),958248.25
2005,7,MS,Total Electric Power Industry,Petroleum (Barrels),319010.58
2005,7,MS,Total Electric Power Industry,Natural Gas (Mcf),20147124.8
2005,7,MT,Total Electric Power Industry,Coal (Short Tons),1073111.11
2005,7,MT,Total Electric Power Industry,Petroleum (Barrels),46118.27
2005,7,MT,Total Electric Power Industry,Natural Gas (Mcf),40468.79
2005,7,NC,Total Electric Power Industry,Coal (Short Tons),3084951.05
2005,7,NC,Total Electric Power Industry,Petroleum (Barrels),62555.9
2005,7,NC,Total Electric Power Industry,Natural Gas (Mcf),6339549.8
2005,7,ND,Total Electric Power Industry,Coal (Short Tons),2289093.49
2005,7,ND,Total Electric Power Industry,Petroleum (Barrels),7611.99
2005,7,ND,Total Electric Power Industry,Natural Gas (Mcf),2970.37
2005,7,NE,Total Electric Power Industry,Coal (Short Tons),1201909.16
2005,7,NE,Total Electric Power Industry,Petroleum (Barrels),4185.77
2005,7,NE,Total Electric Power Industry,Natural Gas (Mcf),1613713.25
2005,7,NH,Total Electric Power Industry,Coal (Short Tons),167132
2005,7,NH,Total Electric Power Industry,Petroleum (Barrels),299737.07
2005,7,NH,Total Electric Power Industry,Natural Gas (Mcf),5031984.29
2005,7,NJ,Total Electric Power Industry,Coal (Short Tons),445236.94
2005,7,NJ,Total Electric Power Industry,Petroleum (Barrels),249359.06
2005,7,NJ,Total Electric Power Industry,Natural Gas (Mcf),17898002.4
2005,7,NM,Total Electric Power Industry,Coal (Short Tons),1423469.61
2005,7,NM,Total Electric Power Industry,Petroleum (Barrels),4019.65
2005,7,NM,Total Electric Power Industry,Natural Gas (Mcf),5666047.34
2005,7,NV,Total Electric Power Industry,Coal (Short Tons),752461
2005,7,NV,Total Electric Power Industry,Petroleum (Barrels),3364.37
2005,7,NV,Total Electric Power Industry,Natural Gas (Mcf),16091946.6
2005,7,NY,Total Electric Power Industry,Coal (Short Tons),915490.9
2005,7,NY,Total Electric Power Industry,Petroleum (Barrels),3803910.44
2005,7,NY,Total Electric Power Industry,Natural Gas (Mcf),43379466.3
2005,7,OH,Total Electric Power Industry,Coal (Short Tons),5570223.93
2005,7,OH,Total Electric Power Industry,Petroleum (Barrels),167148.07
2005,7,OH,Total Electric Power Industry,Natural Gas (Mcf),5850648.22
2005,7,OK,Total Electric Power Industry,Coal (Short Tons),2102789.53
2005,7,OK,Total Electric Power Industry,Petroleum (Barrels),3434.99
2005,7,OK,Total Electric Power Industry,Natural Gas (Mcf),34697930.2
2005,7,OR,Total Electric Power Industry,Coal (Short Tons),237936
2005,7,OR,Total Electric Power Industry,Petroleum (Barrels),19494.86
2005,7,OR,Total Electric Power Industry,Natural Gas (Mcf),7376721
2005,7,PA,Total Electric Power Industry,Coal (Short Tons),5248368.34
2005,7,PA,Total Electric Power Industry,Petroleum (Barrels),1346322.83
2005,7,PA,Total Electric Power Industry,Natural Gas (Mcf),14706008.8
2005,7,RI,Total Electric Power Industry,Petroleum (Barrels),14022.78
2005,7,RI,Total Electric Power Industry,Natural Gas (Mcf),4815153.38
2005,7,SC,Total Electric Power Industry,Coal (Short Tons),1485747.99
2005,7,SC,Total Electric Power Industry,Petroleum (Barrels),115444.59
2005,7,SC,Total Electric Power Industry,Natural Gas (Mcf),8904412.01
2005,7,SD,Total Electric Power Industry,Coal (Short Tons),176445.11
2005,7,SD,Total Electric Power Industry,Petroleum (Barrels),4975.15
2005,7,SD,Total Electric Power Industry,Natural Gas (Mcf),685600.9
2005,7,TN,Total Electric Power Industry,Coal (Short Tons),2429246.82
2005,7,TN,Total Electric Power Industry,Petroleum (Barrels),28496.09
2005,7,TN,Total Electric Power Industry,Natural Gas (Mcf),1092684.23
2005,7,TX,Total Electric Power Industry,Coal (Short Tons),9337066
2005,7,TX,Total Electric Power Industry,Petroleum (Barrels),262694.63
2005,7,TX,Total Electric Power Industry,Natural Gas (Mcf),182122150
2005,7,UT,Total Electric Power Industry,Coal (Short Tons),1601437.97
2005,7,UT,Total Electric Power Industry,Petroleum (Barrels),5717.19
2005,7,UT,Total Electric Power Industry,Natural Gas (Mcf),2366689.35
2005,7,VA,Total Electric Power Industry,Coal (Short Tons),1406695.11
2005,7,VA,Total Electric Power Industry,Petroleum (Barrels),883753.93
2005,7,VA,Total Electric Power Industry,Natural Gas (Mcf),13138823.3
2005,7,VT,Total Electric Power Industry,Petroleum (Barrels),2579.52
2005,7,VT,Total Electric Power Industry,Natural Gas (Mcf),2109
2005,7,WA,Total Electric Power Industry,Coal (Short Tons),613734.26
2005,7,WA,Total Electric Power Industry,Petroleum (Barrels),5966.28
2005,7,WA,Total Electric Power Industry,Natural Gas (Mcf),6835624.94
2005,7,WI,Total Electric Power Industry,Coal (Short Tons),2336481.26
2005,7,WI,Total Electric Power Industry,Petroleum (Barrels),142307.98
2005,7,WI,Total Electric Power Industry,Natural Gas (Mcf),9164514.6
2005,7,WV,Total Electric Power Industry,Coal (Short Tons),3504687.43
2005,7,WV,Total Electric Power Industry,Petroleum (Barrels),23707.78
2005,7,WV,Total Electric Power Industry,Natural Gas (Mcf),303914.55
2005,7,WY,Total Electric Power Industry,Coal (Short Tons),2305957.75
2005,7,WY,Total Electric Power Industry,Petroleum (Barrels),5363.73
2005,7,WY,Total Electric Power Industry,Natural Gas (Mcf),928436.76
2005,8,AK,Total Electric Power Industry,Coal (Short Tons),42457.83
2005,8,AK,Total Electric Power Industry,Petroleum (Barrels),120477.18
2005,8,AK,Total Electric Power Industry,Natural Gas (Mcf),4027886.29
2005,8,AL,Total Electric Power Industry,Coal (Short Tons),3468282.32
2005,8,AL,Total Electric Power Industry,Petroleum (Barrels),34820.77
2005,8,AL,Total Electric Power Industry,Natural Gas (Mcf),18143954.8
2005,8,AR,Total Electric Power Industry,Coal (Short Tons),1257475.84
2005,8,AR,Total Electric Power Industry,Petroleum (Barrels),37526.4
2005,8,AR,Total Electric Power Industry,Natural Gas (Mcf),7787395.3
2005,8,AZ,Total Electric Power Industry,Coal (Short Tons),1839419.31
2005,8,AZ,Total Electric Power Industry,Petroleum (Barrels),3774.83
2005,8,AZ,Total Electric Power Industry,Natural Gas (Mcf),30446346.6
2005,8,CA,Total Electric Power Industry,Coal (Short Tons),67853.82
2005,8,CA,Total Electric Power Industry,Petroleum (Barrels),501466.1
2005,8,CA,Total Electric Power Industry,Natural Gas (Mcf),88209131.1
2005,8,CO,Total Electric Power Industry,Coal (Short Tons),1718161.11
2005,8,CO,Total Electric Power Industry,Petroleum (Barrels),3599.63
2005,8,CO,Total Electric Power Industry,Natural Gas (Mcf),8719987.13
2005,8,CT,Total Electric Power Industry,Coal (Short Tons),192387.46
2005,8,CT,Total Electric Power Industry,Petroleum (Barrels),687246.27
2005,8,CT,Total Electric Power Industry,Natural Gas (Mcf),7155599.12
2005,8,DC,Total Electric Power Industry,Petroleum (Barrels),158493
2005,8,DE,Total Electric Power Industry,Coal (Short Tons),274130.01
2005,8,DE,Total Electric Power Industry,Petroleum (Barrels),225545.72
2005,8,DE,Total Electric Power Industry,Natural Gas (Mcf),2327509.47
2005,8,FL,Total Electric Power Industry,Coal (Short Tons),2451679.96
2005,8,FL,Total Electric Power Industry,Petroleum (Barrels),7583286.24
2005,8,FL,Total Electric Power Industry,Natural Gas (Mcf),75030620.5
2005,8,GA,Total Electric Power Industry,Coal (Short Tons),3890470.39
2005,8,GA,Total Electric Power Industry,Petroleum (Barrels),102021.8
2005,8,GA,Total Electric Power Industry,Natural Gas (Mcf),15000299.2
2005,8,HI,Total Electric Power Industry,Coal (Short Tons),58704.21
2005,8,HI,Total Electric Power Industry,Petroleum (Barrels),1436702.62
2005,8,IA,Total Electric Power Industry,Coal (Short Tons),2099592.73
2005,8,IA,Total Electric Power Industry,Petroleum (Barrels),34186.07
2005,8,IA,Total Electric Power Industry,Natural Gas (Mcf),2888698.12
2005,8,ID,Total Electric Power Industry,Coal (Short Tons),2097.2
2005,8,ID,Total Electric Power Industry,Petroleum (Barrels),1.53
2005,8,ID,Total Electric Power Industry,Natural Gas (Mcf),1213183.34
2005,8,IL,Total Electric Power Industry,Coal (Short Tons),5094044.48
2005,8,IL,Total Electric Power Industry,Petroleum (Barrels),71070.13
2005,8,IL,Total Electric Power Industry,Natural Gas (Mcf),12091634.3
2005,8,IN,Total Electric Power Industry,Coal (Short Tons),5517992.2
2005,8,IN,Total Electric Power Industry,Petroleum (Barrels),27545.24
2005,8,IN,Total Electric Power Industry,Natural Gas (Mcf),6050441.04
2005,8,KS,Total Electric Power Industry,Coal (Short Tons),2109953.24
2005,8,KS,Total Electric Power Industry,Petroleum (Barrels),260081.67
2005,8,KS,Total Electric Power Industry,Natural Gas (Mcf),2090910.39
2005,8,KY,Total Electric Power Industry,Coal (Short Tons),3723361.89
2005,8,KY,Total Electric Power Industry,Petroleum (Barrels),580582.34
2005,8,KY,Total Electric Power Industry,Natural Gas (Mcf),3513974.71
2005,8,LA,Total Electric Power Industry,Coal (Short Tons),1440191.36
2005,8,LA,Total Electric Power Industry,Petroleum (Barrels),634836.53
2005,8,LA,Total Electric Power Industry,Natural Gas (Mcf),42014890.2
2005,8,MA,Total Electric Power Industry,Coal (Short Tons),421352.6
2005,8,MA,Total Electric Power Industry,Petroleum (Barrels),1015939.03
2005,8,MA,Total Electric Power Industry,Natural Gas (Mcf),19538177
2005,8,MD,Total Electric Power Industry,Coal (Short Tons),1189444.1
2005,8,MD,Total Electric Power Industry,Petroleum (Barrels),869740.68
2005,8,MD,Total Electric Power Industry,Natural Gas (Mcf),4553576.36
2005,8,ME,Total Electric Power Industry,Coal (Short Tons),5372.84
2005,8,ME,Total Electric Power Industry,Petroleum (Barrels),193474.1
2005,8,ME,Total Electric Power Industry,Natural Gas (Mcf),6398754.54
2005,8,MI,Total Electric Power Industry,Coal (Short Tons),3467429.35
2005,8,MI,Total Electric Power Industry,Petroleum (Barrels),253365.65
2005,8,MI,Total Electric Power Industry,Natural Gas (Mcf),16680122.3
2005,8,MN,Total Electric Power Industry,Coal (Short Tons),1888591.51
2005,8,MN,Total Electric Power Industry,Petroleum (Barrels),150326.64
2005,8,MN,Total Electric Power Industry,Natural Gas (Mcf),3701293.42
2005,8,MO,Total Electric Power Industry,Coal (Short Tons),4238709.71
2005,8,MO,Total Electric Power Industry,Petroleum (Barrels),56631.75
2005,8,MO,Total Electric Power Industry,Natural Gas (Mcf),6039385.07
2005,8,MS,Total Electric Power Industry,Coal (Short Tons),970124.69
2005,8,MS,Total Electric Power Industry,Petroleum (Barrels),689947.46
2005,8,MS,Total Electric Power Industry,Natural Gas (Mcf),23245905.2
2005,8,MT,Total Electric Power Industry,Coal (Short Tons),937884.46
2005,8,MT,Total Electric Power Industry,Petroleum (Barrels),35130.32
2005,8,MT,Total Electric Power Industry,Natural Gas (Mcf),41118.79
2005,8,NC,Total Electric Power Industry,Coal (Short Tons),3232976.3
2005,8,NC,Total Electric Power Industry,Petroleum (Barrels),70018.8
2005,8,NC,Total Electric Power Industry,Natural Gas (Mcf),6621024.41
2005,8,ND,Total Electric Power Industry,Coal (Short Tons),2306966.89
2005,8,ND,Total Electric Power Industry,Petroleum (Barrels),5298.72
2005,8,ND,Total Electric Power Industry,Natural Gas (Mcf),1669.05
2005,8,NE,Total Electric Power Industry,Coal (Short Tons),1178705.59
2005,8,NE,Total Electric Power Industry,Petroleum (Barrels),4843.12
2005,8,NE,Total Electric Power Industry,Natural Gas (Mcf),1322238.93
2005,8,NH,Total Electric Power Industry,Coal (Short Tons),150758
2005,8,NH,Total Electric Power Industry,Petroleum (Barrels),420365.39
2005,8,NH,Total Electric Power Industry,Natural Gas (Mcf),5319425.55
2005,8,NJ,Total Electric Power Industry,Coal (Short Tons),488835.09
2005,8,NJ,Total Electric Power Industry,Petroleum (Barrels),242597.87
2005,8,NJ,Total Electric Power Industry,Natural Gas (Mcf),20558275.2
2005,8,NM,Total Electric Power Industry,Coal (Short Tons),1540289.55
2005,8,NM,Total Electric Power Industry,Petroleum (Barrels),5329.58
2005,8,NM,Total Electric Power Industry,Natural Gas (Mcf),5008638.92
2005,8,NV,Total Electric Power Industry,Coal (Short Tons),779986
2005,8,NV,Total Electric Power Industry,Petroleum (Barrels),5566.34
2005,8,NV,Total Electric Power Industry,Natural Gas (Mcf),16436991.4
2005,8,NY,Total Electric Power Industry,Coal (Short Tons),880039.77
2005,8,NY,Total Electric Power Industry,Petroleum (Barrels),5014218.34
2005,8,NY,Total Electric Power Industry,Natural Gas (Mcf),41948386
2005,8,OH,Total Electric Power Industry,Coal (Short Tons),5576164.86
2005,8,OH,Total Electric Power Industry,Petroleum (Barrels),234350.27
2005,8,OH,Total Electric Power Industry,Natural Gas (Mcf),5715019.71
2005,8,OK,Total Electric Power Industry,Coal (Short Tons),2132735.83
2005,8,OK,Total Electric Power Industry,Petroleum (Barrels),5743.53
2005,8,OK,Total Electric Power Industry,Natural Gas (Mcf),35564644
2005,8,OR,Total Electric Power Industry,Coal (Short Tons),236021
2005,8,OR,Total Electric Power Industry,Petroleum (Barrels),1253.03
2005,8,OR,Total Electric Power Industry,Natural Gas (Mcf),9390686.28
2005,8,PA,Total Electric Power Industry,Coal (Short Tons),5245846.05
2005,8,PA,Total Electric Power Industry,Petroleum (Barrels),1278454.17
2005,8,PA,Total Electric Power Industry,Natural Gas (Mcf),14745486.8
2005,8,RI,Total Electric Power Industry,Petroleum (Barrels),16224.84
2005,8,RI,Total Electric Power Industry,Natural Gas (Mcf),4973841.21
2005,8,SC,Total Electric Power Industry,Coal (Short Tons),1434931.57
2005,8,SC,Total Electric Power Industry,Petroleum (Barrels),146154.84
2005,8,SC,Total Electric Power Industry,Natural Gas (Mcf),10853650.8
